Site;Parameter;Date (LT);Year;Month;Day;Hour;AQI;AQI Category;24-hr. Midpoint Avg. Conc.;Raw Conc.;Conc. Unit;Duration;QC Name
Ho Chi Minh City;PM2.5 - Principal;2016-02-11 02:00 PM;2016;2;11;14;91;2;30.9;36;UG/M3;1 Hr;Valid
Ho Chi Minh City;PM2.5 - Principal;2016-02-11 03:00 PM;2016;2;11;15;96;2;33.4;36;UG/M3;1 Hr;Valid
Ho Chi Minh City;PM2.5 - Principal;2016-02-11 04:00 PM;2016;2;11;16;102;3;36.1;39;UG/M3;1 Hr;Valid
Ho Chi Minh City;PM2.5 - Principal;2016-02-11 05:00 PM;2016;2;11;17;91;2;31.2;25;UG/M3;1 Hr;Valid
Ho Chi Minh City;PM2.5 - Principal;2016-02-11 06:00 PM;2016;2;11;18;74;2;23.2;16;UG/M3;1 Hr;Valid
Ho Chi Minh City;PM2.5 - Principal;2016-02-11 07:00 PM;2016;2;11;19;65;2;18.6;19;UG/M3;1 Hr;Valid
Ho Chi Minh City;PM2.5 - Principal;2016-02-11 08:00 PM;2016;2;11;20;64;2;18.4;16;UG/M3;1 Hr;Valid
Ho Chi Minh City;PM2.5 - Principal;2016-02-11 09:00 PM;2016;2;11;21;64;2;18.2;16;UG/M3;1 Hr;Valid
Ho Chi Minh City;PM2.5 - Principal;2016-02-11 10:00 PM;2016;2;11;22;63;2;17.9;9;UG/M3;1 Hr;Valid
Ho Chi Minh City;PM2.5 - Principal;2016-02-11 11:00 PM;2016;2;11;23;63;2;17.9;10;UG/M3;1 Hr;Valid
Ho Chi Minh City;PM2.5 - Principal;2016-02-12 12:00 AM;2016;2;12;0;63;2;17.7;13;UG/M3;1 Hr;Valid
Ho Chi Minh City;PM2.5 - Principal;2016-02-12 01:00 AM;2016;2;12;1;62;2;17.5;14;UG/M3;1 Hr;Valid
Ho Chi Minh City;PM2.5 - Principal;2016-02-12 02:00 AM;2016;2;12;2;62;2;17.1;15;UG/M3;1 Hr;Valid
Ho Chi Minh City;PM2.5 - Principal;2016-02-12 03:00 AM;2016;2;12;3;59;2;16.1;13;UG/M3;1 Hr;Valid
Ho Chi Minh City;PM2.5 - Principal;2016-02-12 04:00 AM;2016;2;12;4;58;2;15.2;9;UG/M3;1 Hr;Valid
